Datum;JD;l_SL;b_SL;d_SL;l_Jup;b_Jup;d_Jup;x;y;z
1994-Jan-24;2449377;210.6519;-0.7729;5.390340;212.5705;1.2088;5.442361;-4.6368;-2.7479;-0.0727
1994-Jan-25;2449378;210.7338;-0.7688;5.390148;212.6464;1.2082;5.442255;-4.6327;-2.7544;-0.0723
1994-Jan-26;2449379;210.8157;-0.7647;5.389957;212.7222;1.2075;5.442148;-4.6286;-2.7609;-0.0719
1994-Jan-27;2449380;210.8976;-0.7605;5.389768;212.7981;1.2069;5.442042;-4.6245;-2.7674;-0.0715
1994-Jan-28;2449381;210.9796;-0.7563;5.389581;212.8740;1.2062;5.441934;-4.6204;-2.7740;-0.0711
1994-Jan-29;2449382;211.0616;-0.7521;5.389395;212.9499;1.2056;5.441825;-4.6162;-2.7805;-0.0707
1994-Jan-30;2449383;211.1436;-0.7478;5.389211;213.0257;1.2049;5.441716;-4.6121;-2.7870;-0.0703
1994-Jan-31;2449384;211.2257;-0.7435;5.389028;213.1016;1.2042;5.441607;-4.6079;-2.7935;-0.0699
1994-Feb-01;2449385;211.3078;-0.7392;5.388848;213.1775;1.2036;5.441498;-4.6038;-2.8000;-0.0695
1994-Feb-02;2449386;211.3899;-0.7348;5.388668;213.2534;1.2029;5.441388;-4.5996;-2.8065;-0.0691
1994-Feb-03;2449387;211.4721;-0.7304;5.388491;213.3293;1.2022;5.441279;-4.5954;-2.8130;-0.0687
1994-Feb-04;2449388;211.5543;-0.7260;5.388315;213.4052;1.2015;5.441168;-4.5913;-2.8195;-0.0683
1994-Feb-05;2449389;211.6366;-0.7215;5.388140;213.4811;1.2009;5.441057;-4.5871;-2.8260;-0.0678
1994-Feb-06;2449390;211.7189;-0.7170;5.387968;213.5570;1.2002;5.440945;-4.5828;-2.8325;-0.0674
1994-Feb-07;2449391;211.8012;-0.7125;5.387797;213.6329;1.1995;5.440832;-4.5786;-2.8390;-0.0670
1994-Feb-08;2449392;211.8836;-0.7079;5.387628;213.7089;1.1988;5.440719;-4.5744;-2.8455;-0.0666
1994-Feb-09;2449393;211.9660;-0.7033;5.387461;213.7848;1.1982;5.440606;-4.5702;-2.8520;-0.0661
1994-Feb-10;2449394;212.0484;-0.6987;5.387295;213.8607;1.1975;5.440493;-4.5659;-2.8585;-0.0657
1994-Feb-11;2449395;212.1309;-0.6940;5.387132;213.9366;1.1968;5.440378;-4.5617;-2.8650;-0.0653
1994-Feb-12;2449396;212.2134;-0.6893;5.386970;214.0126;1.1961;5.440263;-4.5574;-2.8714;-0.0648
1994-Feb-13;2449397;212.2959;-0.6845;5.386810;214.0885;1.1954;5.440148;-4.5531;-2.8779;-0.0644
1994-Feb-14;2449398;212.3785;-0.6798;5.386652;214.1644;1.1947;5.440032;-4.5489;-2.8844;-0.0639
1994-Feb-15;2449399;212.4611;-0.6749;5.386496;214.2403;1.1940;5.439916;-4.5446;-2.8909;-0.0634
1994-Feb-16;2449400;212.5438;-0.6701;5.386341;214.3163;1.1933;5.439800;-4.5403;-2.8974;-0.0630
1994-Feb-17;2449401;212.6265;-0.6652;5.386189;214.3922;1.1926;5.439684;-4.5360;-2.9038;-0.0625
1994-Feb-18;2449402;212.7092;-0.6603;5.386038;214.4681;1.1919;5.439567;-4.5316;-2.9103;-0.0621
1994-Feb-19;2449403;212.7920;-0.6553;5.385890;214.5441;1.1912;5.439449;-4.5273;-2.9168;-0.0616
