COMMENT;CCSDS_OEM_VERS = 2.0
COMMENT;CREATION_DATE  = 2023-03-21T01:10:06.984
COMMENT;ORIGINATOR     = NASA/JSC/FOD/TOPO
COMMENT;META_START
COMMENT;OBJECT_NAME          = ISS
COMMENT;OBJECT_ID            = 1998-067-A
COMMENT;CENTER_NAME          = Earth
COMMENT;REF_FRAME            = EME2000
COMMENT;TIME_SYSTEM          = UTC
COMMENT;START_TIME           = 2023-03-20T12:00:00.000
COMMENT;USEABLE_START_TIME   = 2023-03-20T12:00:00.000
COMMENT;USEABLE_STOP_TIME    = 2023-04-04T12:00:00.000
COMMENT;STOP_TIME            = 2023-04-04T12:00:00.000
COMMENT;META_STOP
COMMENT;Source: This file was produced by the TOPO office within FOD at JSC.
COMMENT;Units are in kg and m^2
COMMENT;MASS=473832.00
COMMENT;DRAG_AREA=1421.50
COMMENT;DRAG_COEFF=2.25
COMMENT;SOLAR_RAD_AREA=0.00
COMMENT;SOLAR_RAD_COEFF=0.00
COMMENT;Orbits start at the ascending node epoch
COMMENT;ISS first asc. node: EPOCH = 2023-03-20T12:47:39.472 $ ORBIT = 2803 $ LAN(DEG) = 38.04199
COMMENT;ISS last asc. node : EPOCH = 2023-04-04T11:53:48.380 $ ORBIT = 3035 $ LAN(DEG) = -37.31100
COMMENT;Begin sequence of events
COMMENT;TRAJECTORY EVENT SUMMARY:
COMMENT;
COMMENT;|       EVENT        |       TIG        | ORB |   DV    |   HA    |   HP    |
COMMENT;|                    |       GMT        |     |   M/S   |   KM    |   KM    |
COMMENT;|                    |                  |     |  (F/S)  |  (NM)   |  (NM)   |
COMMENT;=============================================================================
COMMENT; 68S Undocking         087:09:57:30.000             0.0     426.2     408.6
COMMENT;                                                   (0.0)   (230.1)   (220.6)
COMMENT;
COMMENT; GMT 089 Cygnus Reb    089:16:48:00.000             0.7     425.6     408.7
COMMENT;                                                   (2.3)   (229.8)   (220.7)
COMMENT;
COMMENT;=============================================================================
COMMENT;
2023-03-20 14:52:00;-5062.556173751700;-211.139279841544;4515.784403057280;-2.58441155286994;-6.47574522626348;-3.19046737392467
2023-03-20 14:56:00;-5490.816584194500;-1738.700571906900;3594.424646628570;-0.96251149631093;-6.17604437960118;-4.44049218197127
2023-03-20 15:00:00;-5518.910619838500;-3139.536539697100;2410.356904359540;0.72983915113483;-5.42616119713189;-5.36620208213502
2023-03-20 15:04:00;-5144.782832179670;-4311.558232616200;1050.111441031580;2.36870109669125;-4.28102423246420;-5.89959487127085
2023-03-20 15:08:00;-4395.862154565900;-5169.494788304920;-386.865684163864;3.83390581437379;-2.82499253620495;-6.00178715168448
2023-03-20 15:12:00;-3327.020200056500;-5651.228908641630;-1795.631722500460;5.01842717974554;-1.16537685564662;-5.66613925233537
2023-03-20 15:16:00;-2016.400100561150;-5722.321724674180;-3073.574801618510;5.83659019652303;0.57600034309693;-4.91853215719522
2023-03-20 15:20:00;-559.498543896785;-5378.363879820670;-4127.978913256710;6.23028319333786;2.27234124878360;-3.81491873621599
2023-03-20 15:24:00;937.940568739688;-4645.020438325340;-4882.700294811900;6.17262318495309;3.80134299767645;-2.43649326644728
2023-03-20 15:28:00;2367.607507345290;-3575.900333816170;-5283.484247270600;5.66910230368315;5.05375803450594;-0.88331607071240
2023-03-20 15:32:00;3626.311733989550;-2248.536715805310;-5301.638426331790;4.75656063751319;5.94053988888212;0.73289644095159
2023-03-20 15:36:00;4623.195409628560;-758.827984142676;-4935.923142842800;3.50031767109745;6.39848680107682;2.29635749078523
2023-03-20 15:40:00;5286.081588408490;785.681299640777;-4212.620065268610;1.98990713013463;6.39433163733300;3.69477932342161
2023-03-20 15:44:00;5566.621356522330;2273.334562022770;-3183.773398098900;0.33326140227793;5.92732582626162;4.82700807773228
2023-03-20 15:48:00;5443.882506597430;3596.267887916550;-1923.649382797150;-1.35034043230800;5.02976339970271;5.61015360082494
2023-03-20 15:52:00;4926.101074697630;4658.209064607170;-523.563320675953;-2.93860002908614;3.76547509602303;5.98599380237252
2023-03-20 15:56:00;4050.326055529080;5381.602663849870;914.658288436679;-4.31522241048589;2.22572487205485;5.92580452233803
2023-03-20 16:00:00;2879.889162737720;5713.462439324970;2286.132103980800;-5.37893422261119;0.52270789640936;5.43307089431000
2023-03-20 16:04:00;1499.812005155420;5629.397614131180;3490.702910887000;-6.05143812675104;-1.21902079052842;4.54346183722450
2023-03-20 16:08:00;10.532949639503;5135.443280211310;4440.384813879340;-6.28336164567970;-2.87209761913915;3.32204906940637
2023-03-20 16:12:00;-1479.510946972030;4267.574497445150;5065.840099047380;-6.05777989708431;-4.31591136054512;1.85815832628172
2023-03-20 16:16:00;-2861.833736118500;3089.008704830010;5321.428224298670;-5.39117066073159;-5.44545422651031;0.25867783180700
2023-03-20 16:20:00;-4035.785992882940;1685.541591521910;5188.473206838720;-4.33192662056496;-6.17864898890737;-1.35990957640891
2023-03-20 16:24:00;-4915.828322473520;159.326650841283;4676.595283850860;-2.95682936253071;-6.46206859984867;-2.87968701168199
2023-03-20 16:28:00;-5437.737910864660;-1378.499303703980;3823.046725804470;-1.36570782024833;-6.27473965678819;-4.18966899918645
2023-03-20 16:32:00;-5563.349758066970;-2815.863309360060;2690.085165808860;0.32538152252853;-5.62998568733144;-5.19376646273996
2023-03-20 16:36:00;-5283.468764367070;-4047.988433627370;1360.488650678460;1.99259857352660;-4.57496319428718;-5.81818739082008
2023-03-20 16:40:00;-4618.621524455670;-4985.172150715760;-68.532309925424;3.51369486575439;-3.18735268254257;-6.01726820577841
2023-03-20 16:44:00;-3617.538394141700;-5559.451012214570;-1492.573164630030;4.77741693570892;-1.56946528310940;-5.77711393179256
2023-03-20 16:48:00;-2353.454470829580;-5729.586173415360;-2807.829248873970;5.69210747259793;0.15978967361187;-5.11652905465350
2023-03-20 16:52:00;-918.561136673860;-5483.945779489540;-3918.775529780510;6.19240589862992;1.87420057366570;-4.08518839130546
2023-03-20 16:56:00;582.892134521636;-4841.099706331810;-4745.097479325130;6.24368814340740;3.44986425603049;-2.75925315085063
2023-03-20 17:00:00;2042.222894920930;-3848.183313130190;-5227.335467626750;5.84371154129540;4.77399884395668;-1.23524151877871
2023-03-20 17:04:00;3354.061284621500;-2577.304480784610;-5330.934652619700;5.02206499963839;5.75240344439155;0.37706017134889
2023-03-20 17:08:00;4423.732195681840;-1120.337451149870;-5048.534256235460;3.83774551675666;6.31543663174743;1.96208179388858
2023-03-20 17:12:00;5173.863235281860;417.542713735293;-4400.438044675360;2.37515012912343;6.42250930316508;3.40613579456535
2023-03-20 17:16:00;5549.859969765550;1925.205924584790;-3433.251845488080;0.73869545573543;6.06493475641220;4.60496302827987
2023-03-20 17:20:00;5523.924754824600;3293.408639501330;-2216.741003776410;-0.95398793980021;5.26715792748651;5.47101242396984
2023-03-20 17:24:00;5097.274490899020;4422.670777454730;-838.995555357584;-2.58018866630881;4.08570358043181;5.94015193724820
2023-03-20 17:28:00;4300.295889555870;5230.594521206690;599.852984545501;-4.02105479934561;2.60561369516003;5.97687575009109
2023-03-20 17:32:00;3190.525532405320;5658.047536442430;1994.927771754700;-5.17067290122260;0.93453757915304;5.57748211137792
2023-03-20 17:36:00;1848.519546487780;5673.651963770700;3244.371190268710;-5.94439396727413;-0.80537525720029;4.77069496567170
2023-03-20 17:40:00;371.921829279745;5276.154404539990;4256.917511877270;-6.28537075608984;-2.48685300884289;3.61547016735056
2023-03-20 17:44:00;-1131.756607784700;4494.493793530420;4958.632713033140;-6.16869633206066;-3.98714773855280;2.19633260364923
2023-03-20 17:48:00;-2553.035926771410;3385.612428959620;5298.303889815580;-5.60291101710811;-5.19705178824833;0.61691538158282
2023-03-20 17:52:00;-3788.433628915150;2030.245832430720;5251.130095668690;-4.62911452094065;-6.02866151355539;-1.00767071793681
2023-03-20 17:56:00;-4747.953016516530;527.047312713096;4820.487736934080;-3.31791843562399;-6.42143181966675;-2.55910375918090
2023-03-20 18:00:00;-5361.608876025750;-1014.535925601500;4037.706679677280;-1.76450310619567;-6.34652296651458;-3.92415648944028
2023-03-20 18:04:00;-5584.558937992780;-2482.189295642820;2959.857873963320;-0.08198313565923;-5.80908058758212;-5.00284577716553
2023-03-20 18:08:00;-5400.475260872450;-3768.938081328850;1665.661238337130;1.60657590548140;-4.84824294007819;-5.71593203944768
2023-03-20 18:12:00;-4822.850880429860;-4781.052848748740;249.727632441513;3.17732871524479;-3.53462844540327;-6.01110681718704
2023-03-20 18:16:00;-3894.031668714750;-5445.039807500270;-1184.459757722510;4.51525161353936;-1.96514041462343;-5.86725893860630
2023-03-20 18:20:00;-2682.009248195410;-5713.065510936950;-2532.285810253530;5.52303141278434;-0.25528547417382;-5.29608529043746
2023-03-20 18:24:00;-1275.251774694760;-5566.349314603070;-3695.774385145930;6.12838261979932;1.46991945470064;-4.34076158502270
2023-03-20 18:28:00;223.946098677497;-5016.296253662160;-4590.722447401070;6.28896184374678;3.08552698337810;-3.07205984561920
2023-03-20 18:32:00;1706.974830898960;-4103.383069661150;-5152.663414015640;5.99468999529208;4.47562501857530;-1.58261048666712
