Datum;Laenge;Breite;Abstand;Laenge rad;Breite rad;x;y;r
2018-Dec-01;288.0143;-1.0331;0.619297584;5.026797828;-0.018030997;0.19148934;-0.588843486;0.619196914
2018-Dec-02;289.3466;-1.1073;0.633301772;5.050050849;-0.019326031;0.209762235;-0.59742879;0.633183508
2018-Dec-03;290.622;-1.1778;0.646896679;5.072310779;-0.020556488;0.227789549;-0.60531845;0.646760005
2018-Dec-04;291.8458;-1.2449;0.660092706;5.093670118;-0.021727604;0.245569062;-0.612545957;0.659936901
2018-Dec-05;293.0224;-1.3088;0.67289973;5.114205662;-0.022842869;0.263096354;-0.619143061;0.672724179
2018-Dec-06;294.1557;-1.3699;0.685327099;5.133985479;-0.023909265;0.280367808;-0.625138933;0.685131224
2018-Dec-07;295.2493;-1.4283;0.697383671;5.153072399;-0.024928538;0.297381942;-0.630559908;0.697166993
2018-Dec-08;296.3063;-1.4843;0.709077827;5.171520529;-0.025905922;0.314136411;-0.635430818;0.708839904
2018-Dec-09;297.3296;-1.538;0.720417501;5.189380484;-0.026843164;0.330630693;-0.639774055;0.720157966
2018-Dec-10;298.3217;-1.5895;0.731410262;5.206695895;-0.027742008;0.34686334;-0.643611051;0.731128827
2018-Dec-11;299.2849;-1.6391;0.742063214;5.223506907;-0.028607692;0.362833632;-0.646961384;0.741759582
2018-Dec-12;300.2213;-1.6869;0.752382999;5.23985017;-0.029441959;0.378541245;-0.649843174;0.752056929
2018-Dec-13;301.1328;-1.7329;0.762375971;5.255758846;-0.030244811;0.393985972;-0.652273463;0.762027307
2018-Dec-14;302.0212;-1.7774;0.772048138;5.271264351;-0.031021482;0.409168454;-0.654267591;0.771676684
2018-Dec-15;302.8879;-1.8204;0.781405187;5.286391119;-0.031771974;0.424086629;-0.655841776;0.781010822
2018-Dec-16;303.7345;-1.8619;0.790452502;5.301167077;-0.032496285;0.438742305;-0.657008957;0.790035176
2018-Dec-17;304.5623;-1.9022;0.799195174;5.315614912;-0.033199653;0.453135185;-0.657782403;0.798754772
2018-Dec-18;305.3726;-1.9412;0.807638026;5.329757315;-0.033880331;0.467266313;-0.658173931;0.807174536
2018-Dec-19;306.1664;-1.979;0.815785618;5.343611739;-0.034540066;0.481134332;-0.658196235;0.815299043
2018-Dec-20;306.9448;-2.0157;0.823642267;5.357197382;-0.035180602;0.494740009;-0.657859888;0.823132619
2018-Dec-21;307.7088;-2.0514;0.831212059;5.370531697;-0.035803684;0.508083825;-0.657175021;0.830679349
2018-Dec-22;308.4592;-2.0861;0.83849886;5.383628648;-0.036409314;0.521164764;-0.656152428;0.837943149
2018-Dec-23;309.1971;-2.1199;0.845506324;5.396507433;-0.036999235;0.533985901;-0.654799066;0.844927665
2018-Dec-24;309.9231;-2.1528;0.852237909;5.409178523;-0.037573448;0.546545221;-0.65312547;0.8516364
2018-Dec-25;310.6379;-2.1848;0.858696882;5.421654136;-0.038131953;0.558842405;-0.651140434;0.858072665
2018-Dec-26;311.3424;-2.2161;0.864886328;5.433949981;-0.038678242;0.57087981;-0.648849833;0.864239471
2018-Dec-27;312.037;-2.2465;0.870809163;5.446073038;-0.039208822;0.582654691;-0.646263827;0.870139887
2018-Dec-28;312.7225;-2.2763;0.876468133;5.45803727;-0.03972893;0.59416902;-0.643387667;0.875776521
2018-Dec-29;313.3995;-2.3053;0.88186583;5.469853149;-0.040235075;0.605423028;-0.640228093;0.881152117
